region_desc,reference_period_desc,source_desc,county_name,util_practice_desc,commodity_desc,agg_level_desc,state_fips_code,begin_code,short_desc,state_ansi,zip_5,class_desc,watershed_desc,asd_desc,congr_district_code,freq_desc,year,end_code,CV (%),watershed_code,group_desc,state_alpha,domaincat_desc,county_code,county_ansi,location_desc,country_code,unit_desc,country_name,prodn_practice_desc,load_time,asd_code,statisticcat_desc,state_name,week_ending,Value,sector_desc,domain_desc
,FEB,SURVEY,,GRAIN,CORN,STATE,31,02,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2018,02,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2019-11-27 15:09:50.000,,PRICE RECEIVED,NEBRASKA,,3.35,CROPS,TOTAL
,MAR,SURVEY,,GRAIN,CORN,STATE,31,03,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2018,03,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2019-11-27 15:09:50.000,,PRICE RECEIVED,NEBRASKA,,3.51,CROPS,TOTAL
,APR,SURVEY,,GRAIN,CORN,STATE,31,04,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2018,04,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2019-11-27 15:09:50.000,,PRICE RECEIVED,NEBRASKA,,3.59,CROPS,TOTAL
,MAY,SURVEY,,GRAIN,CORN,STATE,31,05,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2018,05,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2019-11-27 15:09:50.000,,PRICE RECEIVED,NEBRASKA,,3.72,CROPS,TOTAL
,JUN,SURVEY,,GRAIN,CORN,STATE,31,06,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2018,06,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2019-11-27 15:09:50.000,,PRICE RECEIVED,NEBRASKA,,3.58,CROPS,TOTAL
,JUL,SURVEY,,GRAIN,CORN,STATE,31,07,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2018,07,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2020-11-30 15:04:12.000,,PRICE RECEIVED,NEBRASKA,,3.45,CROPS,TOTAL
,AUG,SURVEY,,GRAIN,CORN,STATE,31,08,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2018,08,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2020-11-30 15:04:12.000,,PRICE RECEIVED,NEBRASKA,,3.37,CROPS,TOTAL
,SEP,SURVEY,,GRAIN,CORN,STATE,31,09,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2018,09,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2020-11-30 15:04:12.000,,PRICE RECEIVED,NEBRASKA,,3.3,CROPS,TOTAL
,OCT,SURVEY,,GRAIN,CORN,STATE,31,10,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2018,10,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2020-11-30 15:04:12.000,,PRICE RECEIVED,NEBRASKA,,3.41,CROPS,TOTAL
,NOV,SURVEY,,GRAIN,CORN,STATE,31,11,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2018,11,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2020-11-30 15:04:12.000,,PRICE RECEIVED,NEBRASKA,,3.45,CROPS,TOTAL
,DEC,SURVEY,,GRAIN,CORN,STATE,31,12,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2018,12,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2020-11-30 15:04:12.000,,PRICE RECEIVED,NEBRASKA,,3.49,CROPS,TOTAL
,JAN,SURVEY,,GRAIN,CORN,STATE,31,01,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2017,01,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2018-11-29 15:01:10.000,,PRICE RECEIVED,NEBRASKA,,3.31,CROPS,TOTAL
,FEB,SURVEY,,GRAIN,CORN,STATE,31,02,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2017,02,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2018-11-29 15:01:10.000,,PRICE RECEIVED,NEBRASKA,,3.41,CROPS,TOTAL
,MAR,SURVEY,,GRAIN,CORN,STATE,31,03,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2017,03,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2018-11-29 15:01:10.000,,PRICE RECEIVED,NEBRASKA,,3.41,CROPS,TOTAL
,APR,SURVEY,,GRAIN,CORN,STATE,31,04,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2017,04,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2018-11-29 15:01:10.000,,PRICE RECEIVED,NEBRASKA,,3.37,CROPS,TOTAL
,MAY,SURVEY,,GRAIN,CORN,STATE,31,05,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2017,05,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2018-11-29 15:01:10.000,,PRICE RECEIVED,NEBRASKA,,3.39,CROPS,TOTAL
,JUN,SURVEY,,GRAIN,CORN,STATE,31,06,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2017,06,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2018-11-29 15:01:10.000,,PRICE RECEIVED,NEBRASKA,,3.38,CROPS,TOTAL
,JUL,SURVEY,,GRAIN,CORN,STATE,31,07,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2017,07,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2019-11-27 15:09:50.000,,PRICE RECEIVED,NEBRASKA,,3.46,CROPS,TOTAL
,AUG,SURVEY,,GRAIN,CORN,STATE,31,08,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2017,08,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2019-11-27 15:09:50.000,,PRICE RECEIVED,NEBRASKA,,3.27,CROPS,TOTAL
,SEP,SURVEY,,GRAIN,CORN,STATE,31,09,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2017,09,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2019-11-27 15:09:50.000,,PRICE RECEIVED,NEBRASKA,,3.19,CROPS,TOTAL
,OCT,SURVEY,,GRAIN,CORN,STATE,31,10,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2017,10,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2019-11-27 15:09:50.000,,PRICE RECEIVED,NEBRASKA,,3.28,CROPS,TOTAL
,NOV,SURVEY,,GRAIN,CORN,STATE,31,11,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2017,11,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2019-11-27 15:09:50.000,,PRICE RECEIVED,NEBRASKA,,3.2,CROPS,TOTAL
,DEC,SURVEY,,GRAIN,CORN,STATE,31,12,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2017,12,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2019-11-27 15:09:50.000,,PRICE RECEIVED,NEBRASKA,,3.21,CROPS,TOTAL
,JAN,SURVEY,,GRAIN,CORN,STATE,31,01,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2016,01,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2017-11-30 15:00:27.000,,PRICE RECEIVED,NEBRASKA,,3.58,CROPS,TOTAL
,FEB,SURVEY,,GRAIN,CORN,STATE,31,02,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2016,02,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2017-11-30 15:00:27.000,,PRICE RECEIVED,NEBRASKA,,3.55,CROPS,TOTAL
,MAR,SURVEY,,GRAIN,CORN,STATE,31,03,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2016,03,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2017-11-30 15:00:27.000,,PRICE RECEIVED,NEBRASKA,,3.49,CROPS,TOTAL
,APR,SURVEY,,GRAIN,CORN,STATE,31,04,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2016,04,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2017-11-30 15:00:27.000,,PRICE RECEIVED,NEBRASKA,,3.44,CROPS,TOTAL
,MAY,SURVEY,,GRAIN,CORN,STATE,31,05,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2016,05,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2017-11-30 15:00:27.000,,PRICE RECEIVED,NEBRASKA,,3.56,CROPS,TOTAL
,JUN,SURVEY,,GRAIN,CORN,STATE,31,06,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2016,06,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2017-11-30 15:00:27.000,,PRICE RECEIVED,NEBRASKA,,3.68,CROPS,TOTAL
,JUL,SURVEY,,GRAIN,CORN,STATE,31,07,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2016,07,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2018-11-29 15:01:10.000,,PRICE RECEIVED,NEBRASKA,,3.63,CROPS,TOTAL
,AUG,SURVEY,,GRAIN,CORN,STATE,31,08,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2016,08,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2018-11-29 15:01:10.000,,PRICE RECEIVED,NEBRASKA,,3.19,CROPS,TOTAL
,SEP,SURVEY,,GRAIN,CORN,STATE,31,09,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2016,09,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2018-11-29 15:01:10.000,,PRICE RECEIVED,NEBRASKA,,3.1,CROPS,TOTAL
,OCT,SURVEY,,GRAIN,CORN,STATE,31,10,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2016,10,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2018-11-29 15:01:10.000,,PRICE RECEIVED,NEBRASKA,,3.3,CROPS,TOTAL
,NOV,SURVEY,,GRAIN,CORN,STATE,31,11,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2016,11,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2018-11-29 15:01:10.000,,PRICE RECEIVED,NEBRASKA,,3.25,CROPS,TOTAL
,DEC,SURVEY,,GRAIN,CORN,STATE,31,12,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2016,12,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2018-11-29 15:01:10.000,,PRICE RECEIVED,NEBRASKA,,3.28,CROPS,TOTAL
,JAN,SURVEY,,GRAIN,CORN,STATE,31,01,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2015,01,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2016-11-30 15:19:50.000,,PRICE RECEIVED,NEBRASKA,,3.88,CROPS,TOTAL
,FEB,SURVEY,,GRAIN,CORN,STATE,31,02,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2015,02,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2016-11-30 15:19:50.000,,PRICE RECEIVED,NEBRASKA,,3.9,CROPS,TOTAL
,MAR,SURVEY,,GRAIN,CORN,STATE,31,03,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2015,03,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2016-11-30 15:19:50.000,,PRICE RECEIVED,NEBRASKA,,3.88,CROPS,TOTAL
,APR,SURVEY,,GRAIN,CORN,STATE,31,04,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2015,04,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2016-11-30 15:19:50.000,,PRICE RECEIVED,NEBRASKA,,3.83,CROPS,TOTAL
,MAY,SURVEY,,GRAIN,CORN,STATE,31,05,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2015,05,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2016-11-30 15:19:50.000,,PRICE RECEIVED,NEBRASKA,,3.76,CROPS,TOTAL
,JUN,SURVEY,,GRAIN,CORN,STATE,31,06,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2015,06,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2016-11-30 15:19:50.000,,PRICE RECEIVED,NEBRASKA,,3.68,CROPS,TOTAL
,JUL,SURVEY,,GRAIN,CORN,STATE,31,07,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2015,07,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2017-11-30 15:00:27.000,,PRICE RECEIVED,NEBRASKA,,3.82,CROPS,TOTAL
,AUG,SURVEY,,GRAIN,CORN,STATE,31,08,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2015,08,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2017-11-30 15:00:27.000,,PRICE RECEIVED,NEBRASKA,,3.72,CROPS,TOTAL
,SEP,SURVEY,,GRAIN,CORN,STATE,31,09,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2015,09,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2017-11-30 15:00:27.000,,PRICE RECEIVED,NEBRASKA,,3.64,CROPS,TOTAL
,OCT,SURVEY,,GRAIN,CORN,STATE,31,10,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2015,10,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2017-11-30 15:00:27.000,,PRICE RECEIVED,NEBRASKA,,3.68,CROPS,TOTAL
,NOV,SURVEY,,GRAIN,CORN,STATE,31,11,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2015,11,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2017-11-30 15:00:27.000,,PRICE RECEIVED,NEBRASKA,,3.62,CROPS,TOTAL
,DEC,SURVEY,,GRAIN,CORN,STATE,31,12,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2015,12,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2017-11-30 15:00:27.000,,PRICE RECEIVED,NEBRASKA,,3.64,CROPS,TOTAL
