county_code,county_ansi,asd_desc,domaincat_desc,prodn_practice_desc,location_desc,class_desc,CV (%),watershed_desc,state_ansi,source_desc,short_desc,county_name,group_desc,week_ending,freq_desc,region_desc,commodity_desc,reference_period_desc,state_fips_code,state_alpha,util_practice_desc,unit_desc,congr_district_code,country_code,zip_5,year,asd_code,domain_desc,state_name,agg_level_desc,country_name,load_time,Value,sector_desc,begin_code,watershed_code,end_code,statisticcat_desc
,,,NOT SPECIFIED,ALL PRODUCTION PRACTICES,CALIFORNIA,ALL CLASSES,,,06,SURVEY,"TOMATOES - PRICE RECEIVED, MEASURED IN $ / CWT",,VEGETABLES,,ANNUAL,,TOMATOES,MARKETING YEAR,06,CA,ALL UTILIZATION PRACTICES,$ / CWT,,9000,,2025,,TOTAL,CALIFORNIA,STATE,UNITED STATES,2026-02-12 15:00:00.000,6.22,CROPS,00,00000000,00,PRICE RECEIVED
,,,NOT SPECIFIED,ALL PRODUCTION PRACTICES,CALIFORNIA,ALL CLASSES,,,06,SURVEY,"TOMATOES - PRICE RECEIVED, MEASURED IN $ / CWT",,VEGETABLES,,ANNUAL,,TOMATOES,MARKETING YEAR,06,CA,ALL UTILIZATION PRACTICES,$ / CWT,,9000,,2024,,TOTAL,CALIFORNIA,STATE,UNITED STATES,2026-02-12 15:00:00.000,7.19,CROPS,00,00000000,00,PRICE RECEIVED
,,,NOT SPECIFIED,ALL PRODUCTION PRACTICES,CALIFORNIA,ALL CLASSES,,,06,SURVEY,"TOMATOES - PRICE RECEIVED, MEASURED IN $ / CWT",,VEGETABLES,,ANNUAL,,TOMATOES,MARKETING YEAR,06,CA,ALL UTILIZATION PRACTICES,$ / CWT,,9000,,2023,,TOTAL,CALIFORNIA,STATE,UNITED STATES,2025-02-12 15:00:00.000,7.92,CROPS,00,00000000,00,PRICE RECEIVED
,,,NOT SPECIFIED,ALL PRODUCTION PRACTICES,CALIFORNIA,ALL CLASSES,,,06,SURVEY,"TOMATOES - PRICE RECEIVED, MEASURED IN $ / CWT",,VEGETABLES,,ANNUAL,,TOMATOES,MARKETING YEAR,06,CA,ALL UTILIZATION PRACTICES,$ / CWT,,9000,,2022,,TOTAL,CALIFORNIA,STATE,UNITED STATES,2024-01-03 15:00:00.000,6.76,CROPS,00,00000000,00,PRICE RECEIVED
,,,NOT SPECIFIED,ALL PRODUCTION PRACTICES,CALIFORNIA,ALL CLASSES,,,06,SURVEY,"TOMATOES - PRICE RECEIVED, MEASURED IN $ / CWT",,VEGETABLES,,ANNUAL,,TOMATOES,MARKETING YEAR,06,CA,ALL UTILIZATION PRACTICES,$ / CWT,,9000,,2021,,TOTAL,CALIFORNIA,STATE,UNITED STATES,2024-01-03 15:00:00.000,5.32,CROPS,00,00000000,00,PRICE RECEIVED
,,,NOT SPECIFIED,ALL PRODUCTION PRACTICES,CALIFORNIA,ALL CLASSES,,,06,SURVEY,"TOMATOES - PRICE RECEIVED, MEASURED IN $ / CWT",,VEGETABLES,,ANNUAL,,TOMATOES,MARKETING YEAR,06,CA,ALL UTILIZATION PRACTICES,$ / CWT,,9000,,2020,,TOTAL,CALIFORNIA,STATE,UNITED STATES,2024-01-03 15:00:00.000,4.8,CROPS,00,00000000,00,PRICE RECEIVED
,,,NOT SPECIFIED,ALL PRODUCTION PRACTICES,CALIFORNIA,ALL CLASSES,,,06,SURVEY,"TOMATOES - PRICE RECEIVED, MEASURED IN $ / CWT",,VEGETABLES,,ANNUAL,,TOMATOES,MARKETING YEAR,06,CA,ALL UTILIZATION PRACTICES,$ / CWT,,9000,,2019,,TOTAL,CALIFORNIA,STATE,UNITED STATES,2024-01-03 15:00:00.000,5.1,CROPS,00,00000000,00,PRICE RECEIVED
,,,NOT SPECIFIED,ALL PRODUCTION PRACTICES,CALIFORNIA,ALL CLASSES,,,06,SURVEY,"TOMATOES - PRICE RECEIVED, MEASURED IN $ / CWT",,VEGETABLES,,ANNUAL,,TOMATOES,MARKETING YEAR,06,CA,ALL UTILIZATION PRACTICES,$ / CWT,,9000,,2018,,TOTAL,CALIFORNIA,STATE,UNITED STATES,2024-01-03 15:00:00.000,4.72,CROPS,00,00000000,00,PRICE RECEIVED
,,,NOT SPECIFIED,ALL PRODUCTION PRACTICES,CALIFORNIA,ALL CLASSES,,,06,SURVEY,"TOMATOES - PRICE RECEIVED, MEASURED IN $ / CWT",,VEGETABLES,,ANNUAL,,TOMATOES,MARKETING YEAR,06,CA,ALL UTILIZATION PRACTICES,$ / CWT,,9000,,2017,,TOTAL,CALIFORNIA,STATE,UNITED STATES,2019-02-21 15:00:02.000,4.97,CROPS,00,00000000,00,PRICE RECEIVED
,,,NOT SPECIFIED,ALL PRODUCTION PRACTICES,CALIFORNIA,ALL CLASSES,,,06,SURVEY,"TOMATOES - PRICE RECEIVED, MEASURED IN $ / CWT",,VEGETABLES,,ANNUAL,,TOMATOES,MARKETING YEAR,06,CA,ALL UTILIZATION PRACTICES,$ / CWT,,9000,,2016,,TOTAL,CALIFORNIA,STATE,UNITED STATES,2019-02-21 15:00:02.000,5.03,CROPS,00,00000000,00,PRICE RECEIVED
,,,NOT SPECIFIED,ALL PRODUCTION PRACTICES,CALIFORNIA,ALL CLASSES,,,06,SURVEY,"TOMATOES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",,VEGETABLES,,ANNUAL,,TOMATOES,MARKETING YEAR,06,CA,FRESH MARKET,$ / CWT,,9000,,2025,,TOTAL,CALIFORNIA,STATE,UNITED STATES,2026-02-12 15:00:00.000,                 (D),CROPS,00,00000000,00,PRICE RECEIVED
,,,NOT SPECIFIED,ALL PRODUCTION PRACTICES,CALIFORNIA,ALL CLASSES,,,06,SURVEY,"TOMATOES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",,VEGETABLES,,ANNUAL,,TOMATOES,MARKETING YEAR,06,CA,FRESH MARKET,$ / CWT,,9000,,2024,,TOTAL,CALIFORNIA,STATE,UNITED STATES,2026-02-12 15:00:00.000,60.9,CROPS,00,00000000,00,PRICE RECEIVED
,,,NOT SPECIFIED,ALL PRODUCTION PRACTICES,CALIFORNIA,ALL CLASSES,,,06,SURVEY,"TOMATOES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",,VEGETABLES,,ANNUAL,,TOMATOES,MARKETING YEAR,06,CA,FRESH MARKET,$ / CWT,,9000,,2023,,TOTAL,CALIFORNIA,STATE,UNITED STATES,2025-02-12 15:00:00.000,                 (D),CROPS,00,00000000,00,PRICE RECEIVED
,,,NOT SPECIFIED,ALL PRODUCTION PRACTICES,CALIFORNIA,ALL CLASSES,,,06,SURVEY,"TOMATOES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",,VEGETABLES,,ANNUAL,,TOMATOES,MARKETING YEAR,06,CA,FRESH MARKET,$ / CWT,,9000,,2022,,TOTAL,CALIFORNIA,STATE,UNITED STATES,2024-01-03 15:00:00.000,50,CROPS,00,00000000,00,PRICE RECEIVED
,,,NOT SPECIFIED,ALL PRODUCTION PRACTICES,CALIFORNIA,ALL CLASSES,,,06,SURVEY,"TOMATOES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",,VEGETABLES,,ANNUAL,,TOMATOES,MARKETING YEAR,06,CA,FRESH MARKET,$ / CWT,,9000,,2021,,TOTAL,CALIFORNIA,STATE,UNITED STATES,2024-01-03 15:00:00.000,41.2,CROPS,00,00000000,00,PRICE RECEIVED
,,,NOT SPECIFIED,ALL PRODUCTION PRACTICES,CALIFORNIA,ALL CLASSES,,,06,SURVEY,"TOMATOES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",,VEGETABLES,,ANNUAL,,TOMATOES,MARKETING YEAR,06,CA,FRESH MARKET,$ / CWT,,9000,,2020,,TOTAL,CALIFORNIA,STATE,UNITED STATES,2024-01-03 15:00:00.000,39.4,CROPS,00,00000000,00,PRICE RECEIVED
,,,NOT SPECIFIED,ALL PRODUCTION PRACTICES,CALIFORNIA,ALL CLASSES,,,06,SURVEY,"TOMATOES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",,VEGETABLES,,ANNUAL,,TOMATOES,MARKETING YEAR,06,CA,FRESH MARKET,$ / CWT,,9000,,2019,,TOTAL,CALIFORNIA,STATE,UNITED STATES,2024-01-03 15:00:00.000,43.1,CROPS,00,00000000,00,PRICE RECEIVED
,,,NOT SPECIFIED,ALL PRODUCTION PRACTICES,CALIFORNIA,ALL CLASSES,,,06,SURVEY,"TOMATOES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",,VEGETABLES,,ANNUAL,,TOMATOES,MARKETING YEAR,06,CA,FRESH MARKET,$ / CWT,,9000,,2018,,TOTAL,CALIFORNIA,STATE,UNITED STATES,2024-01-03 15:00:00.000,27.8,CROPS,00,00000000,00,PRICE RECEIVED
,,,NOT SPECIFIED,ALL PRODUCTION PRACTICES,CALIFORNIA,ALL CLASSES,,,06,SURVEY,"TOMATOES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",,VEGETABLES,,ANNUAL,,TOMATOES,MARKETING YEAR,06,CA,FRESH MARKET,$ / CWT,,9000,,2017,,TOTAL,CALIFORNIA,STATE,UNITED STATES,2019-02-21 15:00:02.000,31.2,CROPS,00,00000000,00,PRICE RECEIVED
,,,NOT SPECIFIED,ALL PRODUCTION PRACTICES,CALIFORNIA,ALL CLASSES,,,06,SURVEY,"TOMATOES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",,VEGETABLES,,ANNUAL,,TOMATOES,MARKETING YEAR,06,CA,FRESH MARKET,$ / CWT,,9000,,2016,,TOTAL,CALIFORNIA,STATE,UNITED STATES,2019-02-21 15:00:02.000,28,CROPS,00,00000000,00,PRICE RECEIVED
,,,NOT SPECIFIED,ALL PRODUCTION PRACTICES,CALIFORNIA,ALL CLASSES,,,06,SURVEY,"TOMATOES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",,VEGETABLES,,ANNUAL,,TOMATOES,MARKETING YEAR,06,CA,FRESH MARKET,$ / CWT,,9000,,2015,,TOTAL,CALIFORNIA,STATE,UNITED STATES,2017-04-07 11:57:30.000,35,CROPS,00,00000000,00,PRICE RECEIVED
,,,NOT SPECIFIED,ALL PRODUCTION PRACTICES,CALIFORNIA,ALL CLASSES,,,06,SURVEY,"TOMATOES, PROCESSING - PRICE RECEIVED, MEASURED IN $ / TON",,VEGETABLES,,ANNUAL,,TOMATOES,MARKETING YEAR,06,CA,PROCESSING,$ / TON,,9000,,2025,,TOTAL,CALIFORNIA,STATE,UNITED STATES,2026-02-12 15:00:00.000,                 (D),CROPS,00,00000000,00,PRICE RECEIVED
,,,NOT SPECIFIED,ALL PRODUCTION PRACTICES,CALIFORNIA,ALL CLASSES,,,06,SURVEY,"TOMATOES, PROCESSING - PRICE RECEIVED, MEASURED IN $ / TON",,VEGETABLES,,ANNUAL,,TOMATOES,MARKETING YEAR,06,CA,PROCESSING,$ / TON,,9000,,2024,,TOTAL,CALIFORNIA,STATE,UNITED STATES,2026-02-12 15:00:00.000,116,CROPS,00,00000000,00,PRICE RECEIVED
,,,NOT SPECIFIED,ALL PRODUCTION PRACTICES,CALIFORNIA,ALL CLASSES,,,06,SURVEY,"TOMATOES, PROCESSING - PRICE RECEIVED, MEASURED IN $ / TON",,VEGETABLES,,ANNUAL,,TOMATOES,MARKETING YEAR,06,CA,PROCESSING,$ / TON,,9000,,2023,,TOTAL,CALIFORNIA,STATE,UNITED STATES,2025-02-12 15:00:00.000,                 (D),CROPS,00,00000000,00,PRICE RECEIVED
,,,NOT SPECIFIED,ALL PRODUCTION PRACTICES,CALIFORNIA,ALL CLASSES,,,06,SURVEY,"TOMATOES, PROCESSING - PRICE RECEIVED, MEASURED IN $ / TON",,VEGETABLES,,ANNUAL,,TOMATOES,MARKETING YEAR,06,CA,PROCESSING,$ / TON,,9000,,2022,,TOTAL,CALIFORNIA,STATE,UNITED STATES,2024-01-03 15:00:00.000,111,CROPS,00,00000000,00,PRICE RECEIVED
,,,NOT SPECIFIED,ALL PRODUCTION PRACTICES,CALIFORNIA,ALL CLASSES,,,06,SURVEY,"TOMATOES, PROCESSING - PRICE RECEIVED, MEASURED IN $ / TON",,VEGETABLES,,ANNUAL,,TOMATOES,MARKETING YEAR,06,CA,PROCESSING,$ / TON,,9000,,2021,,TOTAL,CALIFORNIA,STATE,UNITED STATES,2024-01-03 15:00:00.000,84,CROPS,00,00000000,00,PRICE RECEIVED
,,,NOT SPECIFIED,ALL PRODUCTION PRACTICES,CALIFORNIA,ALL CLASSES,,,06,SURVEY,"TOMATOES, PROCESSING - PRICE RECEIVED, MEASURED IN $ / TON",,VEGETABLES,,ANNUAL,,TOMATOES,MARKETING YEAR,06,CA,PROCESSING,$ / TON,,9000,,2020,,TOTAL,CALIFORNIA,STATE,UNITED STATES,2024-01-03 15:00:00.000,76,CROPS,00,00000000,00,PRICE RECEIVED
,,,NOT SPECIFIED,ALL PRODUCTION PRACTICES,CALIFORNIA,ALL CLASSES,,,06,SURVEY,"TOMATOES, PROCESSING - PRICE RECEIVED, MEASURED IN $ / TON",,VEGETABLES,,ANNUAL,,TOMATOES,MARKETING YEAR,06,CA,PROCESSING,$ / TON,,9000,,2019,,TOTAL,CALIFORNIA,STATE,UNITED STATES,2024-01-03 15:00:00.000,80,CROPS,00,00000000,00,PRICE RECEIVED
,,,NOT SPECIFIED,ALL PRODUCTION PRACTICES,CALIFORNIA,ALL CLASSES,,,06,SURVEY,"TOMATOES, PROCESSING - PRICE RECEIVED, MEASURED IN $ / TON",,VEGETABLES,,ANNUAL,,TOMATOES,MARKETING YEAR,06,CA,PROCESSING,$ / TON,,9000,,2018,,TOTAL,CALIFORNIA,STATE,UNITED STATES,2024-01-03 15:00:00.000,79,CROPS,00,00000000,00,PRICE RECEIVED
,,,NOT SPECIFIED,ALL PRODUCTION PRACTICES,CALIFORNIA,ALL CLASSES,,,06,SURVEY,"TOMATOES, PROCESSING - PRICE RECEIVED, MEASURED IN $ / TON",,VEGETABLES,,ANNUAL,,TOMATOES,MARKETING YEAR,06,CA,PROCESSING,$ / TON,,9000,,2017,,TOTAL,CALIFORNIA,STATE,UNITED STATES,2019-02-21 15:00:02.000,81,CROPS,00,00000000,00,PRICE RECEIVED
,,,NOT SPECIFIED,ALL PRODUCTION PRACTICES,CALIFORNIA,ALL CLASSES,,,06,SURVEY,"TOMATOES, PROCESSING - PRICE RECEIVED, MEASURED IN $ / TON",,VEGETABLES,,ANNUAL,,TOMATOES,MARKETING YEAR,06,CA,PROCESSING,$ / TON,,9000,,2016,,TOTAL,CALIFORNIA,STATE,UNITED STATES,2019-02-21 15:00:02.000,86.3,CROPS,00,00000000,00,PRICE RECEIVED
,,,NOT SPECIFIED,ALL PRODUCTION PRACTICES,CALIFORNIA,ALL CLASSES,,,06,SURVEY,"TOMATOES, PROCESSING - PRICE RECEIVED, MEASURED IN $ / TON",,VEGETABLES,,ANNUAL,,TOMATOES,MARKETING YEAR,06,CA,PROCESSING,$ / TON,,9000,,2015,,TOTAL,CALIFORNIA,STATE,UNITED STATES,2017-04-07 11:57:30.000,93,CROPS,00,00000000,00,PRICE RECEIVED
